reference,longitude,latitude,10/27/12 0:00,10/27/12 12:00,10/28/12 0:00,10/28/12 12:00,10/29/12 0:00,10/29/12 12:00,10/30/12 0:00,10/30/12 12:00,10/31/12 0:00,10/31/12 12:00,11/1/12 0:00,11/1/12 12:00,11/2/12 0:00,11/2/12 12:00,11/3/12 0:00,11/3/12 12:00,11/4/12 0:00,11/4/12 12:00,11/5/12 0:00,11/5/12 12:00,11/6/12 0:00,11/6/12 12:00,11/7/12 0:00,11/7/12 12:00,11/8/12 0:00,11/8/12 12:00,11/9/12 0:00
asset_19,-73.96319518,40.80927051,0.000519096,0.000519134,0.000519191,0.000519526,0.000519561,0.000519997,0.000520039,0.000520137,0.000520172,0.000520207,0.000520242,0.000549408,0.000549445,0.000549662,0.000549699,0.000549863,0.0005499,0.000550225,0.000550261,0.000552123,0.00055216,0.000552197,0.000552234,0.000554821,0.000554858,0.000554896,0.000554933
asset_20,-73.9294113,40.87168166,0.000132818,0.000132828,0.000132838,0.000132849,0.000132859,0.000132869,0.000132879,0.00013289,0.0001329,0.00013291,0.00013292,0.00013293,0.000132941,0.000132951,0.000132961,0.000132978,0.000132989,0.000133034,0.000133044,0.000133206,0.000133216,0.000133228,0.000133238,0.000133248,0.00013326,0.000133351,0.000133362
asset_21,-73.96378125,40.80030613,0.000259541,0.00025955,0.000259687,0.000259878,0.000259897,0.000259906,0.000259915,0.000259924,0.000259933,0.000259942,0.000259951,0.00025996,0.000259968,0.000259977,0.000259986,0.000259995,0.000260004,0.000260019,0.000260028,0.000260066,0.000260074,0.000260087,0.000260096,0.000260106,0.000260115,0.000260129,0.000260138
asset_22,-73.96463194,40.77555478,0.001307169,0.00130786,0.00131356,0.001313659,0.001313742,0.001313826,0.001313909,0.001313993,0.001314076,0.00131416,0.001314243,0.001314326,0.00131441,0.001314493,0.002311428,0.003331424,0.003331636,0.003331847,0.003333111,0.003335163,0.003337266,0.003349916,0.003352521,0.00336059,0.003367613,0.003369208,0.003369565
asset_23,-73.93892885,40.83749041,0.000155186,0.000155196,0.000155206,0.000155221,0.00015523,0.00015524,0.00015525,0.00015526,0.00015527,0.00015528,0.00015529,0.0001553,0.00015531,0.00015532,0.00015533,0.00015534,0.00015535,0.000155362,0.000155372,0.000155512,0.000155522,0.000155558,0.000155568,0.000155579,0.000155589,0.000155723,0.000155734
asset_24,-73.9656158,40.80476261,0.001002493,0.001002559,0.001002625,0.001002788,0.001002853,0.001002917,0.001002981,0.001003045,0.001003109,0.001003173,0.001003237,0.001003301,0.001003366,0.00100343,0.001003536,0.0010036,0.001003682,0.001003879,0.001003962,0.001004091,0.001004195,0.001004262,0.00100434,0.001004405,0.001004794,0.001015196,0.001015658
asset_25,-74.00909226,40.71803776,0.000225981,0.000225999,0.000226013,0.000226283,0.000226298,0.000226331,0.000226346,0.00022636,0.000226375,0.000226389,0.000226404,0.000226419,0.000226433,0.000226455,0.000226469,0.0002265,0.000226514,0.000226529,0.000226544,0.000226562,0.000226576,0.000226603,0.000226618,0.000226633,0.000226648,0.00022667,0.000226688
asset_26,-73.98129252,40.72863468,0.000411331,0.000411359,0.000411387,0.000411414,0.00041144,0.000411466,0.000411493,0.000411519,0.000411545,0.000411572,0.000411598,0.000411624,0.000411651,0.000411677,0.000411756,0.000411831,0.000411857,0.000411883,0.00041191,0.000411938,0.000411965,0.000411991,0.000412018,0.000412044,0.00041207,0.000412097,0.000412123
asset_27,-74.01533894,40.68782791,0.000859663,0.00085973,0.000859796,0.000859862,0.000859928,0.000859994,0.00086006,0.000860126,0.000860192,0.000860259,0.000860325,0.000860391,0.000860457,0.000860523,0.000860588,0.000860656,0.000860722,0.000860788,0.000860853,0.000860919,0.000860985,0.000861051,0.000861117,0.000861184,0.00086125,0.000861315,0.000861381
asset_28,-73.92723385,40.86428192,0.000283485,0.000283706,0.000283924,0.000284142,0.000284361,0.000284579,0.000284797,0.000285016,0.000285234,0.000285453,0.000285671,0.00028589,0.000286108,0.000286327,0.000286548,0.000286766,0.000286986,0.000287205,0.000287424,0.000287643,0.000287862,0.000288081,0.0002883,0.00028852,0.000288739,0.000288958,0.00028918
asset_29,-73.94989076,40.83016562,0.006410456,0.006410866,0.006411276,0.006411687,0.006412097,0.006412507,0.006412917,0.006413327,0.006413737,0.006414147,0.006414557,0.006414967,0.006415377,0.006415787,0.006416197,0.006416607,0.006417017,0.006417428,0.006417838,0.00641825,0.00641866,0.00641907,0.006419481,0.006419891,0.006420301,0.006420711,0.006421121
asset_30,-73.97343212,40.74663155,0.001041245,0.001041312,0.001041378,0.001041718,0.001041793,0.001041859,0.001041926,0.001041993,0.001042059,0.001042126,0.001042193,0.001042259,0.001042326,0.001042392,0.001042459,0.001042526,0.001042592,0.001042659,0.001042726,0.001042792,0.001042859,0.001042926,0.001042992,0.001043059,0.001043302,0.001043892,0.001044097
asset_31,-73.99549055,40.76603273,0.000471371,0.000471408,0.000471442,0.000471478,0.000471522,0.000471557,0.000471589,0.000471678,0.00047171,0.000471742,0.000472205,0.000472235,0.000472265,0.000472295,0.000472767,0.000473514,0.000474122,0.000474819,0.000475694,0.000476699,0.000477334,0.000478051,0.000478533,0.000479075,0.000479494,0.000480017,0.000480435
asset_32,-73.99670303,40.74400203,0.000330012,0.000330034,0.000330093,0.000330119,0.000330141,0.000330264,0.000330286,0.000330307,0.000330328,0.000330349,0.00033037,0.000330391,0.000330413,0.000330434,0.000330484,0.000330561,0.000330627,0.000330702,0.00033078,0.000331978,0.00033321,0.000334592,0.000336013,0.00033742,0.00033876,0.000340102,0.000341309
asset_33,-73.9539879,40.81417685,9.62E-05,9.62E-05,9.62E-05,9.62E-05,9.62E-05,9.62E-05,9.62E-05,9.62E-05,9.62E-05,9.62E-05,9.62E-05,9.62E-05,9.62E-05,9.62E-05,9.63E-05,9.63E-05,9.63E-05,9.63E-05,9.64E-05,9.64E-05,9.64E-05,9.64E-05,9.64E-05,9.64E-05,9.64E-05,9.64E-05,9.65E-05
asset_34,-73.95411517,40.78889383,0.0002802,0.000280221,0.000282421,0.000282544,0.000282562,0.00028258,0.000282598,0.000282616,0.000282634,0.000282652,0.000282671,0.000282689,0.000282707,0.000282725,0.000282743,0.000282763,0.000282781,0.000282799,0.000282817,0.000282835,0.000282853,0.000282876,0.000283006,0.000283024,0.000283043,0.000283067,0.000283087
asset_35,-73.96324345,40.79620632,1.22E-06,1.25E-06,1.25E-06,1.25E-06,1.25E-06,1.25E-06,1.25E-06,1.25E-06,1.25E-06,1.25E-06,1.25E-06,1.25E-06,1.25E-06,1.25E-06,1.25E-06,1.25E-06,1.25E-06,1.25E-06,1.25E-06,1.25E-06,1.26E-06,1.26E-06,1.26E-06,1.26E-06,1.26E-06,1.26E-06,1.26E-06
asset_36,-73.98643335,40.77104184,0.000747658,0.000747706,0.000747754,0.000747812,0.00074786,0.000747908,0.000747956,0.000748004,0.000748052,0.0007481,0.000748148,0.000748196,0.000748244,0.000748292,0.00074834,0.000748388,0.000748436,0.000748486,0.000748534,0.000748582,0.00074863,0.000748678,0.000748726,0.000748774,0.000748823,0.000748871,0.000748919
asset_37,-73.97820494,40.79488802,5.52E-05,5.53E-05,5.53E-05,5.55E-05,5.55E-05,5.56E-05,5.56E-05,5.56E-05,5.56E-05,5.56E-05,5.56E-05,5.56E-05,5.56E-05,5.56E-05,5.56E-05,5.56E-05,5.56E-05,5.57E-05,5.57E-05,5.57E-05,5.57E-05,5.57E-05,5.57E-05,5.57E-05,5.57E-05,5.57E-05,5.57E-05
asset_38,-73.94061636,40.81318474,0.000668402,0.000668445,0.000668488,0.000668531,0.000668574,0.000668617,0.00066866,0.000668703,0.000668746,0.000668789,0.000668832,0.000668875,0.000668918,0.000668961,0.000669003,0.000669046,0.000669089,0.000669132,0.000669175,0.000669218,0.000669261,0.000669304,0.000669347,0.00066939,0.000669433,0.000669476,0.000669524
asset_39,-74.01514089,40.68820565,3.24E-05,3.24E-05,3.24E-05,3.24E-05,3.24E-05,3.24E-05,3.24E-05,3.24E-05,3.24E-05,3.24E-05,3.24E-05,3.24E-05,3.24E-05,3.24E-05,3.25E-05,3.25E-05,3.25E-05,3.27E-05,3.27E-05,3.27E-05,3.27E-05,3.27E-05,3.27E-05,3.27E-05,3.27E-05,3.27E-05,3.27E-05
asset_40,-74.00954483,40.7227193,0.000144662,0.000144671,0.000144681,0.00014469,0.000144699,0.000144709,0.000144718,0.000144727,0.000144737,0.000144746,0.000144755,0.000144765,0.000144774,0.000144783,0.000144793,0.000144804,0.000144813,0.000145193,0.000145202,0.000145211,0.000145221,0.00014523,0.000145239,0.000145261,0.000145271,0.00014528,0.000145291
asset_41,-73.93762461,40.84355328,0.000409692,0.000409723,0.000409755,0.000409805,0.000409837,0.000410039,0.000410071,0.000410103,0.000410134,0.000410166,0.000410198,0.000410231,0.000410262,0.000410294,0.000410326,0.000410357,0.000410389,0.000410421,0.000410453,0.000410491,0.000410523,0.000410554,0.000410586,0.000410672,0.000410703,0.000410735,0.000410767
asset_42,-73.95640811,40.82446938,0.000138617,0.000138627,0.000138647,0.000138657,0.000138666,0.00013868,0.000138689,0.000138699,0.000138708,0.000138717,0.000138726,0.000139658,0.000139667,0.000139676,0.000140432,0.000144151,0.000144248,0.000144257,0.000144267,0.000144276,0.000144286,0.000144295,0.000144304,0.000144314,0.000144323,0.000144333,0.000144342
asset_43,-73.97527306,40.75023442,0.002071462,0.002071624,0.002071763,0.002071911,0.00207205,0.002072189,0.002072327,0.002072466,0.002072605,0.002072744,0.002072883,0.002073022,0.002073161,0.0020733,0.002073439,0.002073578,0.002073717,0.002073859,0.002073998,0.002074137,0.002074276,0.002074415,0.002074554,0.002074693,0.002074832,0.002074971,0.00207511
asset_44,-73.94180722,40.84731606,4.65E-06,2.54E-05,2.54E-05,2.54E-05,2.54E-05,2.54E-05,2.54E-05,2.54E-05,2.54E-05,2.54E-05,2.54E-05,2.54E-05,2.54E-05,2.54E-05,2.55E-05,2.55E-05,2.55E-05,2.56E-05,2.56E-05,2.56E-05,2.56E-05,2.56E-05,2.56E-05,2.60E-05,2.60E-05,2.60E-05,2.61E-05
asset_45,-74.00445433,40.72844362,5.93E-05,5.93E-05,5.94E-05,5.94E-05,5.94E-05,5.95E-05,5.95E-05,5.95E-05,5.95E-05,5.95E-05,5.95E-05,5.95E-05,5.95E-05,5.96E-05,5.96E-05,5.96E-05,5.96E-05,5.97E-05,5.97E-05,5.97E-05,5.97E-05,5.98E-05,5.98E-05,5.98E-05,5.98E-05,5.98E-05,6.00E-05
asset_46,-74.01155641,40.72110261,0.000156402,0.000156412,0.000156422,0.000156438,0.000156448,0.000156458,0.000156469,0.000156479,0.000156489,0.0001565,0.00015651,0.00015652,0.00015653,0.000156635,0.00015669,0.000156781,0.000157163,0.000157216,0.000157283,0.000157355,0.000157405,0.000158341,0.000158824,0.000159562,0.000160473,0.000161207,0.000161946
asset_47,-73.95638353,40.79992797,9.26E-05,9.26E-05,9.27E-05,9.27E-05,9.27E-05,9.31E-05,9.31E-05,9.31E-05,9.31E-05,9.31E-05,9.31E-05,9.31E-05,9.31E-05,9.31E-05,9.32E-05,9.32E-05,9.32E-05,9.33E-05,9.33E-05,9.33E-05,9.33E-05,9.33E-05,9.33E-05,9.33E-05,9.33E-05,9.33E-05,9.33E-05
asset_48,-74.0460971,40.69046816,0.000487307,0.000487341,0.000487374,0.000487407,0.00048744,0.000487473,0.000487506,0.000487539,0.000487573,0.000487606,0.000487639,0.000487672,0.000487705,0.000487738,0.000487781,0.000487822,0.000487863,0.000487906,0.000487947,0.000487989,0.000488051,0.000488183,0.000488235,0.00048868,0.000488756,0.000489096,0.000489254
asset_49,-74.00077561,40.73777237,7.24E-05,7.24E-05,7.24E-05,7.25E-05,7.25E-05,7.25E-05,7.25E-05,7.25E-05,7.25E-05,7.25E-05,7.25E-05,7.25E-05,7.25E-05,7.25E-05,7.25E-05,7.25E-05,7.25E-05,7.25E-05,7.25E-05,7.25E-05,7.25E-05,7.25E-05,7.25E-05,7.25E-05,7.26E-05,7.26E-05,7.26E-05
asset_50,-73.93044053,40.85303423,3.27E-05,3.27E-05,3.28E-05,3.28E-05,3.28E-05,3.28E-05,3.28E-05,3.28E-05,3.28E-05,3.28E-05,3.28E-05,3.28E-05,3.28E-05,3.28E-05,3.28E-05,3.28E-05,3.29E-05,3.29E-05,3.29E-05,3.29E-05,3.29E-05,3.29E-05,3.29E-05,3.29E-05,3.29E-05,3.29E-05,3.29E-05
asset_51,-73.97366042,40.7381592,0.000989423,0.000989492,0.000989559,0.000989636,0.000989704,0.000989774,0.000989842,0.000989909,0.000989976,0.000990043,0.00099011,0.000990178,0.000990245,0.000990441,0.000990567,0.000990758,0.000990941,0.000991027,0.000991158,0.000991297,0.000991417,0.00099152,0.000991669,0.000991825,0.000991918,0.000993309,0.000994068
asset_52,-73.94904437,40.80563228,3.69E-07,3.69E-07,3.69E-07,3.69E-07,3.69E-07,3.69E-07,3.69E-07,3.69E-07,3.69E-07,3.69E-07,3.69E-07,3.69E-07,3.69E-07,3.69E-07,3.69E-07,3.69E-07,3.69E-07,3.69E-07,3.69E-07,3.69E-07,3.69E-07,3.70E-07,3.70E-07,3.70E-07,3.70E-07,3.70E-07,3.70E-07
asset_53,-73.95674079,40.80655401,1.80E-05,1.80E-05,1.80E-05,1.80E-05,1.80E-05,1.80E-05,1.80E-05,1.80E-05,1.80E-05,1.80E-05,1.80E-05,1.80E-05,1.80E-05,1.80E-05,1.80E-05,1.80E-05,1.80E-05,1.80E-05,1.80E-05,1.81E-05,1.81E-05,1.81E-05,1.81E-05,1.81E-05,1.81E-05,1.81E-05,1.81E-05
asset_54,-73.94170762,40.78664425,9.52E-05,9.53E-05,9.53E-05,9.54E-05,9.54E-05,9.54E-05,9.54E-05,9.54E-05,9.55E-05,9.55E-05,9.55E-05,9.55E-05,9.55E-05,9.55E-05,9.55E-05,9.55E-05,9.55E-05,9.55E-05,9.55E-05,9.55E-05,9.55E-05,9.56E-05,9.56E-05,9.56E-05,9.56E-05,9.57E-05,9.57E-05
asset_55,-73.99561868,40.741015,4.23E-05,4.23E-05,4.23E-05,4.24E-05,4.24E-05,4.24E-05,4.24E-05,4.24E-05,4.24E-05,4.24E-05,4.24E-05,4.24E-05,4.24E-05,4.24E-05,4.24E-05,5.48E-05,5.48E-05,5.48E-05,5.48E-05,5.48E-05,5.48E-05,5.62E-05,5.62E-05,5.62E-05,5.64E-05,5.64E-05,5.64E-05
asset_56,-74.00684555,40.75399083,4.47E-05,4.47E-05,4.48E-05,4.48E-05,4.48E-05,4.48E-05,4.48E-05,4.48E-05,4.48E-05,4.48E-05,4.49E-05,4.49E-05,4.49E-05,4.50E-05,4.50E-05,4.57E-05,4.58E-05,4.80E-05,4.80E-05,4.80E-05,4.80E-05,4.81E-05,4.81E-05,4.81E-05,4.81E-05,4.82E-05,4.82E-05
asset_57,-73.98899394,40.73083898,1.87E-05,1.87E-05,1.87E-05,1.87E-05,1.87E-05,1.88E-05,1.88E-05,1.88E-05,1.89E-05,1.89E-05,1.89E-05,1.89E-05,1.89E-05,1.89E-05,1.89E-05,1.90E-05,1.90E-05,1.90E-05,1.90E-05,1.90E-05,1.90E-05,1.90E-05,1.90E-05,1.90E-05,1.91E-05,1.91E-05,1.91E-05
asset_58,-73.98191682,40.74149897,2.67E-05,2.67E-05,2.67E-05,2.67E-05,2.67E-05,2.67E-05,2.67E-05,2.67E-05,2.67E-05,2.67E-05,2.67E-05,2.67E-05,2.67E-05,2.67E-05,2.68E-05,2.69E-05,2.70E-05,2.70E-05,2.70E-05,2.70E-05,2.70E-05,2.70E-05,2.70E-05,2.70E-05,2.70E-05,2.70E-05,2.70E-05
asset_59,-73.98186403,40.74199777,0.000381292,0.000383406,0.000383474,0.000397271,0.000397298,0.000397337,0.000397365,0.000397393,0.000397421,0.000397448,0.000397476,0.000397504,0.000397531,0.000397559,0.000397587,0.000397615,0.000397642,0.00039767,0.000397698,0.000397735,0.000397762,0.000397795,0.000397822,0.00039785,0.000397878,0.000397927,0.000397955
asset_60,-73.98681023,40.72131654,0.000554205,0.000554565,0.000556945,0.000558689,0.000559239,0.000559355,0.000559395,0.000559435,0.000559475,0.000559516,0.000559556,0.000559596,0.000559636,0.000559676,0.000567864,0.000588219,0.000595848,0.000616952,0.000621571,0.000648832,0.000654719,0.000660735,0.000667984,0.000689738,0.000694612,0.000702651,0.000705784
asset_61,-73.95814683,40.81074518,9.41E-05,9.41E-05,9.41E-05,9.42E-05,9.42E-05,9.42E-05,9.42E-05,9.42E-05,9.42E-05,9.42E-05,9.42E-05,9.42E-05,9.42E-05,9.43E-05,9.43E-05,9.43E-05,9.43E-05,9.43E-05,9.43E-05,9.43E-05,9.43E-05,9.95E-05,9.95E-05,9.95E-05,9.95E-05,9.96E-05,9.96E-05
asset_62,-73.9849258,40.75852194,0.00047974,0.000479803,0.000479838,0.000479875,0.00047991,0.000479945,0.00047998,0.000480015,0.00048005,0.000480086,0.000480121,0.000480156,0.000480191,0.000480226,0.000480261,0.000480297,0.000480332,0.000480367,0.000480402,0.000480437,0.000480473,0.000480508,0.000480543,0.000480578,0.000480778,0.000480814,0.000480849
asset_63,-73.97897395,40.76680344,0.001274852,0.001275154,0.001275436,0.001275861,0.001276201,0.001276946,0.00127735,0.001278838,0.001279119,0.001279317,0.00127999,0.001280702,0.001281082,0.001282703,0.001283413,0.001285707,0.001286521,0.001288134,0.001288844,0.001289867,0.001290649,0.001291442,0.001292188,0.001294519,0.001295492,0.001297104,0.00129791
asset_64,-73.99851542,40.73827324,5.41E-05,5.41E-05,5.41E-05,5.41E-05,5.41E-05,5.41E-05,5.41E-05,5.41E-05,5.41E-05,5.41E-05,5.41E-05,5.41E-05,5.41E-05,5.41E-05,5.41E-05,5.42E-05,5.42E-05,5.42E-05,5.42E-05,5.42E-05,5.42E-05,5.42E-05,5.42E-05,5.42E-05,5.42E-05,5.42E-05,5.42E-05
asset_65,-73.94703205,40.79148767,9.64E-06,9.64E-06,9.64E-06,9.68E-06,9.68E-06,9.71E-06,9.71E-06,9.71E-06,9.71E-06,9.72E-06,9.72E-06,9.72E-06,9.72E-06,9.72E-06,9.72E-06,9.85E-06,9.88E-06,9.88E-06,9.89E-06,9.89E-06,9.89E-06,9.89E-06,9.89E-06,9.89E-06,9.89E-06,9.89E-06,9.89E-06
asset_66,-73.94150046,40.81665894,0.129198452,0.129205704,0.129212806,0.129220403,0.12922766,0.129234762,0.129241864,0.129248967,0.129256069,0.129263171,0.129270273,0.129277376,0.129284478,0.129291581,0.129298684,0.129305787,0.12931289,0.129319993,0.129327096,0.129334199,0.129341302,0.129348405,0.129355509,0.129362612,0.129369716,0.129376847,0.129383951
asset_67,-73.97735735,40.73629901,4.24E-05,4.24E-05,4.24E-05,4.24E-05,4.24E-05,4.24E-05,4.25E-05,4.25E-05,4.25E-05,4.25E-05,4.25E-05,4.25E-05,4.25E-05,4.25E-05,4.26E-05,4.26E-05,4.26E-05,4.26E-05,4.26E-05,4.27E-05,4.27E-05,4.28E-05,4.29E-05,4.30E-05,4.32E-05,4.34E-05,4.35E-05
asset_68,-74.020851,40.69071895,1.01E-05,1.01E-05,1.01E-05,1.01E-05,1.01E-05,1.01E-05,1.01E-05,1.01E-05,1.01E-05,1.01E-05,1.01E-05,1.01E-05,1.01E-05,1.01E-05,1.01E-05,1.01E-05,1.01E-05,1.02E-05,1.02E-05,1.02E-05,1.02E-05,1.02E-05,1.02E-05,1.02E-05,1.02E-05,1.02E-05,1.02E-05
asset_69,-73.98835055,40.76653666,2.49E-05,2.49E-05,2.49E-05,2.49E-05,2.49E-05,2.49E-05,2.49E-05,2.50E-05,2.50E-05,2.50E-05,2.50E-05,2.50E-05,2.50E-05,2.50E-05,2.50E-05,2.50E-05,2.50E-05,2.50E-05,2.50E-05,2.50E-05,2.50E-05,2.50E-05,2.50E-05,2.50E-05,2.50E-05,2.50E-05,2.50E-05
